     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       273,         2,         0,   0.015,pymatching,229b32cd486d69ab3a26f121551e76c8bd3d9bbeba6e5b2c690b22ce64e4a7f4,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.0019,""params"":{""after_clifford1_depolarization"":0.00019,""after_clifford2_depolarization"":0.0019,""after_reset_flip_probability"":0.0038,""before_measure_flip_probability"":0.0038,""before_round_data_bias_probability"":[0.00019,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00019,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
       273,         0,         0,   0.015,pymatching,016548e1eb76c1434bd0c56e98cec23b5327d3d920842f758fd75b9e467f2c36,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.00185,""params"":{""after_clifford1_depolarization"":0.000185,""after_clifford2_depolarization"":0.00185,""after_reset_flip_probability"":0.0037,""before_measure_flip_probability"":0.0037,""before_round_data_bias_probability"":[0.000185,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00018500000000000002,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
         1,         0,         0,   0.015,pymatching,19c11fbc6b3af0bed4cae2ef80aff99189000d5881cda379ed95180a296cdb9c,"{""d"":5,""eta"":1,""memory"":""Z"",""p"":0.0017,""params"":{""after_clifford1_depolarization"":0.00016999999999999999,""after_clifford2_depolarization"":0.0017,""after_reset_flip_probability"":0.0034,""before_measure_flip_probability"":0.0034,""before_round_data_bias_probability"":[0.00016999999999999999,1],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00017,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
       273,         1,         0,   0.015,pymatching,ac5a5f4265fc73473007725eaefbd6bbf3fbf3e2b0f4e610ceadfed73d88af91,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.0018,""params"":{""after_clifford1_depolarization"":0.00017999999999999998,""after_clifford2_depolarization"":0.0018,""after_reset_flip_probability"":0.0036,""before_measure_flip_probability"":0.0036,""before_round_data_bias_probability"":[0.00017999999999999998,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00018,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
       273,         1,         0,   0.016,pymatching,3c01bb116821581cb1f19c60329d139e5a9053ccb80c6291e6ce5ea1827b02f3,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.002,""params"":{""after_clifford1_depolarization"":0.0002,""after_clifford2_depolarization"":0.002,""after_reset_flip_probability"":0.004,""before_measure_flip_probability"":0.004,""before_round_data_bias_probability"":[0.0002,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0002,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
       273,         0,         0,   0.016,pymatching,4102430c7ff7757bc5c649746eed9f263ad747734b12556b4863098b854e48aa,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.0017,""params"":{""after_clifford1_depolarization"":0.00016999999999999999,""after_clifford2_depolarization"":0.0017,""after_reset_flip_probability"":0.0034,""before_measure_flip_probability"":0.0034,""before_round_data_bias_probability"":[0.00016999999999999999,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00017,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
      1296,         4,         0,   0.016,pymatching,19c11fbc6b3af0bed4cae2ef80aff99189000d5881cda379ed95180a296cdb9c,"{""d"":5,""eta"":1,""memory"":""Z"",""p"":0.0017,""params"":{""after_clifford1_depolarization"":0.00016999999999999999,""after_clifford2_depolarization"":0.0017,""after_reset_flip_probability"":0.0034,""before_measure_flip_probability"":0.0034,""before_round_data_bias_probability"":[0.00016999999999999999,1],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00017,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
      2048,         2,         0,   0.016,pymatching,ac5a5f4265fc73473007725eaefbd6bbf3fbf3e2b0f4e610ceadfed73d88af91,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.0018,""params"":{""after_clifford1_depolarization"":0.00017999999999999998,""after_clifford2_depolarization"":0.0018,""after_reset_flip_probability"":0.0036,""before_measure_flip_probability"":0.0036,""before_round_data_bias_probability"":[0.00017999999999999998,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00018,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
      2048,         9,         0,   0.016,pymatching,229b32cd486d69ab3a26f121551e76c8bd3d9bbeba6e5b2c690b22ce64e4a7f4,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.0019,""params"":{""after_clifford1_depolarization"":0.00019,""after_clifford2_depolarization"":0.0019,""after_reset_flip_probability"":0.0038,""before_measure_flip_probability"":0.0038,""before_round_data_bias_probability"":[0.00019,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00019,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
      2048,        11,         0,   0.031,pymatching,016548e1eb76c1434bd0c56e98cec23b5327d3d920842f758fd75b9e467f2c36,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.00185,""params"":{""after_clifford1_depolarization"":0.000185,""after_clifford2_depolarization"":0.00185,""after_reset_flip_probability"":0.0037,""before_measure_flip_probability"":0.0037,""before_round_data_bias_probability"":[0.000185,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00018500000000000002,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
